region,year,event
Virginia,2018,Data center boom accelerates in Loudoun Co.; water demand from cooling towers rises
Virginia,2021,Loudoun Water launches multi-year rate study citing infrastructure expansion needs
Virginia,2024,Loudoun Water 2024 Rate Study published — 4-year rate path to $3.61/1000 gal by 2027
Arizona,2020,Data center buildout in Maricopa Co. accelerates; Phoenix water demand projections revised upward
Arizona,2023,Phoenix projects data center water use 385M -> 3.7B gal/yr; groundwater deficit 4.86M acre-ft
Arizona,2024,Arizona enacts new data center water disclosure requirements
Ohio,2020,AEP Ohio data center load ~100 MW; Columbus water utility begins rate modernization
Ohio,2022,Ohio EPA 2022 Water Rate Survey documents Columbus rate increases
Ohio,2024,AEP Ohio DC load reaches 600 MW; Columbus water infrastructure investment accelerates
Oregon,2022,Portland Water Bureau begins rate increases driven partly by infrastructure for tech corridor
Oregon,2024,Oregon Intel/Meta expansion in Hillsboro; water reclamation debates begin
Oregon,2025,Portland water rates up ~26% over FY2022-FY2026 period
